Time,PPG,Acc
0,409.93594,0.99346
0.02,403.55255,0.99442
0.04,396.57714,0.98929
0.06,390.0411,0.9889
0.08,385.88269,1.00441
0.1,384.7489,0.99928
0.12,385.30865,0.98443
0.14,385.67578,0.9989
0.16,383.38201,0.9836
0.18,377.31353,0.98929
0.2,369.47161,0.98871
0.22,362.44824,0.97959
0.24,357.90829,0.99398
0.26,356.14239,0.98832
0.28,354.90917,0.99422
0.3,351.99743,0.98443
0.32,347.53894,0.98871
0.34,342.42639,0.98915
0.36,338.41406,0.98997
0.38,338.00195,0.99957
0.4,342.20236,0.98492
0.42,351.46533,0.99389
0.44,365.98632,0.98832
0.46,383.30859,0.98399
0.48,399.77819,0.99422
0.5,412.45108,0.99422
0.52,418.54229,0.9889
0.54,417.27014,1.0036
0.56,410.58233,0.99971
0.58,401.32629,0.99461
0.6,393.16857,0.98871
0.62,388.77325,0.99389
0.64,387.46166,0.99461
0.66,387.34869,0.99422
0.68,386.82482,0.97361
0.7,384.59698,0.98871
0.72,381.16363,0.99799
0.74,377.56085,0.98506
0.76,373.70999,0.99924
0.78,369.78967,0.98871
0.8,365.763,0.99389
0.82,361.08248,0.9889
0.84,356.75103,0.98997
0.86,354.02349,0.98832
0.88,352.47146,0.98871
0.9,351.35366,0.98997
0.92,350.32226,0.99326
0.94,350.28222,0.98399
0.96,354.22824,0.98042
0.98,364.44927,0.99928
1,380.29949,0.9936
1.02,398.25299,0.99346
1.04,412.21743,0.98399
1.06,417.51574,0.99504
1.08,414.7243,0.99442
1.1,407.39981,0.99422
1.12,399.45916,0.99928
1.14,393.87161,0.98871
1.16,390.5086,0.98915
1.18,387.70257,0.9836
1.2,384.83148,0.99995
1.22,381.47283,0.9836
1.24,377.81567,0.9989
1.26,374.8591,0.98443
1.28,371.9743,0.99389
1.3,367.77325,0.99957
1.32,362.40795,1.00398
1.34,356.87744,0.99995
1.36,352.78106,0.98924
1.38,351.30007,0.98972
1.4,351.16775,0.9889
1.42,350.57049,0.99442
1.44,348.88275,0.98462
1.46,346.01574,0.98399
1.48,343.96585,0.98857
1.5,346.24111,0.97833
1.52,354.34918,0.9904
1.54,367.9519,1.00503
1.56,385.21539,0.98929
1.58,402.03869,0.98871
1.6,414.88803,0.98929
1.62,422.67388,0.98958
1.64,425.69409,0.98929
1.66,425.26702,1.00441
1.68,422.2377,0.9836
1.7,416.45419,0.98924
1.72,409.19708,0.99346
1.74,402.76818,0.99442
1.76,398.41308,0.98972
1.78,396.31112,0.99398
1.8,395.07156,0.98423
1.82,392.64562,0.99461
1.84,388.5874,0.98871
1.86,382.94168,0.98915
1.88,375.87258,0.98871
1.9,369.16162,0.99924
1.92,363.92077,0.99326
1.94,359.35534,0.9889
1.96,355.14312,0.99346
1.98,351.22048,0.98929
2,347.54144,0.99422
2.02,344.89089,0.99398
2.04,342.90441,0.98799
2.06,340.62213,0.99533
2.08,339.46249,0.98958
2.1,342.30322,1.00422
2.12,351.91772,0.9889
2.14,369.20129,0.99995
2.16,390.15332,0.99398
2.18,408.169,0.98915
2.2,418.87341,0.9889
2.22,421.1809,0.99504
2.24,417.79946,0.99504
2.26,413.5202,0.9793
2.28,410.51715,1.00398
2.3,408.23925,0.99504
2.32,405.83245,0.99504
2.34,402.48171,0.98871
2.36,398.76269,0.99924
2.38,396.27294,0.98958
2.4,394.6499,0.99461
2.42,392.19476,0.9889
2.44,387.70022,1.00327
2.46,380.669,0.98443
2.48,372.72467,0.99274
2.5,366.68652,0.98462
2.52,363.39221,0.99504
2.54,361.8771,0.99504
2.56,360.38647,0.99307
2.58,357.25668,0.99398
2.6,353.14666,1.0036
2.62,349.97241,0.99307
2.64,348.28881,0.98871
2.66,347.67962,0.99914
2.68,347.23327,0.99928
2.7,346.8496,0.98832
2.72,349.43847,0.98929
